FD,time,apache 
3073,849,12
3070,850,12
3071,851,12
3070,852,12
3072,853,12
3071,854,12
3072,855,12
3070,856,12
3071,857,12
3070,858,12
3071,859,12
3072,860,12
3073,861,12
3073,862,12
3072,863,12
3071,864,12
3073,865,12
3073,866,12
3073,867,12
3073,868,12
3073,869,12
3072,870,12
3070,871,12
3071,872,12
3071,873,12
3073,874,12
3072,875,12
3070,876,12
3073,877,12
3072,878,12
3070,879,12
3071,880,12
3071,881,12
3070,882,12
3070,883,12
3073,884,12
3073,885,12
3072,886,12
3070,887,12
3071,888,12
3073,889,12
3073,890,12
3073,891,12
3073,892,12
3072,893,12
3071,894,12
3072,895,12
3070,896,12
3072,897,12
3071,898,12
3073,899,12
3073,900,12
3073,901,12
3072,902,12
3071,903,12
3072,904,12
3076,905,12
3075,906,12
3073,907,12
3075,908,12
3073,909,12
3075,910,12
3074,911,12
3076,912,11
3075,913,10
3074,914,10
3075,915,10
3073,916,5
3076,917,20
3074,918,20
3074,919,20
3075,920,20
3074,921,20
3075,922,20
3073,923,20
3075,924,20
3073,925,20
3076,926,20
3076,927,20
3075,928,20
3074,929,20
3076,930,20
3076,931,20
3076,932,20
3071,933,20
3070,934,20
3073,935,20
3072,936,20
3074,937,20
3072,938,20
3074,939,20
3072,940,20
3070,941,20
3073,942,20
3072,943,20
3071,944,20
3073,945,20
3073,946,20
3074,947,20
3072,948,20
3076,949,20
3073,950,20
3073,951,20
3072,952,20
3071,953,20
3071,954,20
3071,955,20
3073,956,20
3073,957,20
3072,958,20
3070,959,20
3070,960,20
3073,961,20
3073,962,20
3073,963,20
3072,964,20
3073,965,20
3071,966,20
3070,967,20
3073,968,20
3073,969,20
3070,970,20
3073,971,20
3073,972,20
3072,973,20
3070,974,20
3072,975,20
3070,976,20
3073,977,20
3073,978,20
3073,979,20
3073,980,20
3073,981,20
3073,982,20
3072,983,20
3070,984,20
3073,985,20
3073,986,20
3071,987,20
3073,988,20
3070,989,20
3073,990,20
3073,991,20
3073,992,20
3071,993,20
3071,994,20
3072,995,20
3070,996,20
3073,997,20
3073,998,20
3073,999,20
3073,1000,20
3073,1001,20
3073,1002,20
3073,1003,20
3073,1004,20
3073,1005,20
3072,1006,20
3072,1007,20
3071,1008,20
3071,1009,20
3071,1010,20
3104,1011,20
3101,1012,20
3103,1013,20
3071,1014,20
3073,1015,20
3104,1016,20
3103,1017,20
3102,1018,20
3101,1019,20
3103,1020,20
3103,1021,20
3103,1022,20
3103,1023,20
3081,1024,20
3080,1025,20
3080,1026,20
3081,1027,20
3080,1028,20
3082,1029,20
3132,1030,20
3133,1031,20
3132,1032,20
3133,1033,20
3131,1034,20
3103,1035,20
3102,1036,20
3104,1037,20
3102,1038,20
3102,1039,20
3102,1040,20
3102,1041,20
3137,1042,20
3137,1043,20
3102,1044,20
3104,1045,20
3103,1046,20
3102,1047,20
3104,1048,20
3104,1049,20
3104,1050,20
3135,1051,20
3131,1052,20
3134,1053,20
3134,1054,20
3131,1055,20
3130,1056,20
3130,1057,20
3130,1058,20
3101,1059,20
3100,1060,20
3101,1061,20
3100,1062,20
3101,1063,20
3104,1064,20
3100,1065,20
3135,1066,20
3129,1067,20
3132,1068,20
3131,1069,20
3130,1070,20
3101,1071,20
3103,1072,20
3101,1073,20
3099,1074,20
3102,1075,20
3100,1076,20
3099,1077,20
3100,1078,20
